,0,1,2,3,4,5,6,7,8,9
169,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
170,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0
171,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0
172,1.0,2.0,-0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
173,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0
174,0.0,2.0,-0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
175,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
176,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
177,2.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
178,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
179,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
180,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
181,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
182,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0
183,1.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0
184,1.0,3.0,-0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
185,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
186,2.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0
187,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
188,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
