,0,1,2,3,4,5,6,7,8,9
312,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
313,2.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0
314,1.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0
315,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
316,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
317,1.0,2.0,1.0,-0.0,0.0,1.0,1.0,1.0,0.0,2.0
318,1.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,-0.0,-0.0
319,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0
320,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0
321,3.0,2.0,1.0,1.0,-0.0,2.0,1.0,2.0,1.0,1.0
322,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
323,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0
324,-0.0,2.0,0.0,1.0,1.0,-0.0,1.0,3.0,0.0,2.0
325,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,-0.0,1.0
326,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,-0.0,0.0
327,-0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0
